State,Location,hour,index,date
PERLIS,Kangar,12:00AM,28,2024-10-14
KEDAH,Langkawi,12:00AM,16,2024-10-14
KEDAH,Alor Setar,12:00AM,26,2024-10-14
KEDAH,Sungai Petani,12:00AM,28,2024-10-14
KEDAH,Kulim Hi-Tech,12:00AM,27,2024-10-14
PULAU PINANG,Seberang Jaya,12:00AM,36,2024-10-14
PULAU PINANG,Seberang Perai,12:00AM,24,2024-10-14
PULAU PINANG,Minden,12:00AM,27,2024-10-14
PULAU PINANG,Balik Pulau,12:00AM,27,2024-10-14
PERAK,Taiping,12:00AM,29,2024-10-14
PERAK,Tasek Ipoh,12:00AM,47,2024-10-14
PERAK,Pegoh Ipoh,12:00AM,42,2024-10-14
PERAK,Seri Manjung,12:00AM,31,2024-10-14
PERAK,Tanjung Malim,12:00AM,32,2024-10-14
W.P. KUALA LUMPUR,Batu Muda,12:00AM,41,2024-10-14
W.P. KUALA LUMPUR,Cheras,12:00AM,50,2024-10-14
W.P. PUTRAJAYA,Putrajaya,12:00AM,55,2024-10-14
SELANGOR,Kuala Selangor,12:00AM,38,2024-10-14
SELANGOR,Petaling Jaya,12:00AM,56,2024-10-14
SELANGOR,Shah Alam,12:00AM,54,2024-10-14
SELANGOR,Klang,12:00AM,38,2024-10-14
SELANGOR,Banting,12:00AM,65,2024-10-14
NEGERI SEMBILAN,Nilai,12:00AM,62,2024-10-14
NEGERI SEMBILAN,Seremban,12:00AM,50,2024-10-14
NEGERI SEMBILAN,Port Dickson,12:00AM,35,2024-10-14
MELAKA,Alor Gajah,12:00AM,38,2024-10-14
MELAKA,Bukit Rambai,12:00AM,46,2024-10-14
MELAKA,Bandaraya Melaka,12:00AM,42,2024-10-14
JOHOR,Segamat,12:00AM,31,2024-10-14
JOHOR,Batu Pahat,12:00AM,36,2024-10-14
JOHOR,Kluang,12:00AM,35,2024-10-14
JOHOR,Larkin,12:00AM,47,2024-10-14
JOHOR,Pasir Gudang,12:00AM,53,2024-10-14
JOHOR,Pengerang,12:00AM,49,2024-10-14
JOHOR,Kota Tinggi,12:00AM,52,2024-10-14
JOHOR,Tangkak,12:00AM,42,2024-10-14
PAHANG,Rompin,12:00AM,51,2024-10-14
PAHANG,Temerloh,12:00AM,30,2024-10-14
PAHANG,Jerantut,12:00AM,33,2024-10-14
PAHANG,Indera Mahkota Kuantan,12:00AM,35,2024-10-14
PAHANG,Balok Baru Kuantan,12:00AM,39,2024-10-14
TERENGGANU,Kemaman,12:00AM,48,2024-10-14
TERENGGANU,Paka,12:00AM,36,2024-10-14
TERENGGANU,Kuala Terengganu,12:00AM,37,2024-10-14
TERENGGANU,Besut,12:00AM,27,2024-10-14
KELANTAN,Tanah Merah,12:00AM,29,2024-10-14
KELANTAN,Kota Bharu,12:00AM,43,2024-10-14
SABAH,Tawau,12:00AM,51,2024-10-14
SABAH,Sandakan,12:00AM,51,2024-10-14
SABAH,Kota Kinabalu,12:00AM,27,2024-10-14
SABAH,Kimanis,12:00AM,25,2024-10-14
SABAH,Keningau,12:00AM,30,2024-10-14
W.P. LABUAN,Labuan,12:00AM,46,2024-10-14
SARAWAK,Limbang,12:00AM,21,2024-10-14
SARAWAK,ILP Miri,12:00AM,21,2024-10-14
SARAWAK,Miri,12:00AM,35,2024-10-14
SARAWAK,Samalaju,12:00AM,52,2024-10-14
SARAWAK,Bintulu,12:00AM,29,2024-10-14
SARAWAK,Mukah,12:00AM,23,2024-10-14
SARAWAK,Kapit,12:00AM,25,2024-10-14
SARAWAK,Sibu,12:00AM,33,2024-10-14
SARAWAK,Sarikei,12:00AM,28,2024-10-14
SARAWAK,Sri Aman,12:00AM,25,2024-10-14
SARAWAK,Samarahan,12:00AM,21,2024-10-14
SARAWAK,Kuching,12:00AM,27,2024-10-14
