State,Location,hour,index,date
PERLIS,Kangar,12:00AM,62,2024-07-20
KEDAH,Langkawi,12:00AM,55,2024-07-20
KEDAH,Alor Setar,12:00AM,65,2024-07-20
KEDAH,Sungai Petani,12:00AM,67,2024-07-20
KEDAH,Kulim Hi-Tech,12:00AM,63,2024-07-20
PULAU PINANG,Seberang Jaya,12:00AM,64,2024-07-20
PULAU PINANG,Seberang Perai,12:00AM,62,2024-07-20
PULAU PINANG,Minden,12:00AM,56,2024-07-20
PULAU PINANG,Balik Pulau,12:00AM,55,2024-07-20
PERAK,Taiping,12:00AM,66,2024-07-20
PERAK,Tasek Ipoh,12:00AM,69,2024-07-20
PERAK,Pegoh Ipoh,12:00AM,59,2024-07-20
PERAK,Seri Manjung,12:00AM,59,2024-07-20
PERAK,Tanjung Malim,12:00AM,53,2024-07-20
W.P. KUALA LUMPUR,Batu Muda,12:00AM,60,2024-07-20
W.P. KUALA LUMPUR,Cheras,12:00AM,53,2024-07-20
W.P. PUTRAJAYA,Putrajaya,12:00AM,63,2024-07-20
SELANGOR,Kuala Selangor,12:00AM,58,2024-07-20
SELANGOR,Petaling Jaya,12:00AM,59,2024-07-20
SELANGOR,Shah Alam,12:00AM,58,2024-07-20
SELANGOR,Klang,12:00AM,62,2024-07-20
SELANGOR,Banting,12:00AM,70,2024-07-20
NEGERI SEMBILAN,Nilai,12:00AM,66,2024-07-20
NEGERI SEMBILAN,Seremban,12:00AM,60,2024-07-20
NEGERI SEMBILAN,Port Dickson,12:00AM,60,2024-07-20
MELAKA,Alor Gajah,12:00AM,57,2024-07-20
MELAKA,Bukit Rambai,12:00AM,66,2024-07-20
MELAKA,Bandaraya Melaka,12:00AM,63,2024-07-20
JOHOR,Segamat,12:00AM,59,2024-07-20
JOHOR,Batu Pahat,12:00AM,63,2024-07-20
JOHOR,Kluang,12:00AM,74,2024-07-20
JOHOR,Larkin,12:00AM,53,2024-07-20
JOHOR,Pasir Gudang,12:00AM,52,2024-07-20
JOHOR,Pengerang,12:00AM,47,2024-07-20
JOHOR,Kota Tinggi,12:00AM,41,2024-07-20
JOHOR,Tangkak,12:00AM,53,2024-07-20
PAHANG,Rompin,12:00AM,54,2024-07-20
PAHANG,Temerloh,12:00AM,58,2024-07-20
PAHANG,Jerantut,12:00AM,64,2024-07-20
PAHANG,Indera Mahkota Kuantan,12:00AM,62,2024-07-20
PAHANG,Balok Baru Kuantan,12:00AM,54,2024-07-20
TERENGGANU,Kemaman,12:00AM,59,2024-07-20
TERENGGANU,Paka,12:00AM,53,2024-07-20
TERENGGANU,Kuala Terengganu,12:00AM,60,2024-07-20
TERENGGANU,Besut,12:00AM,55,2024-07-20
KELANTAN,Tanah Merah,12:00AM,63,2024-07-20
KELANTAN,Kota Bharu,12:00AM,69,2024-07-20
SABAH,Tawau,12:00AM,37,2024-07-20
SABAH,Sandakan,12:00AM,39,2024-07-20
SABAH,Kota Kinabalu,12:00AM,49,2024-07-20
SABAH,Kimanis,12:00AM,39,2024-07-20
SABAH,Keningau,12:00AM,53,2024-07-20
W.P. LABUAN,Labuan,12:00AM,49,2024-07-20
SARAWAK,Limbang,12:00AM,37,2024-07-20
SARAWAK,ILP Miri,12:00AM,49,2024-07-20
SARAWAK,Miri,12:00AM,46,2024-07-20
SARAWAK,Samalaju,12:00AM,55,2024-07-20
SARAWAK,Bintulu,12:00AM,52,2024-07-20
SARAWAK,Mukah,12:00AM,42,2024-07-20
SARAWAK,Kapit,12:00AM,37,2024-07-20
SARAWAK,Sibu,12:00AM,51,2024-07-20
SARAWAK,Sarikei,12:00AM,51,2024-07-20
SARAWAK,Sri Aman,12:00AM,32,2024-07-20
SARAWAK,Samarahan,12:00AM,37,2024-07-20
SARAWAK,Kuching,12:00AM,45,2024-07-20
