State,Location,hour,index,date
PERLIS,Kangar,12:00AM,23,2023-10-28
KEDAH,Langkawi,12:00AM,22,2023-10-28
KEDAH,Alor Setar,12:00AM,30,2023-10-28
KEDAH,Sungai Petani,12:00AM,31,2023-10-28
KEDAH,Kulim Hi-Tech,12:00AM,56,2023-10-28
PULAU PINANG,Seberang Jaya,12:00AM,47,2023-10-28
PULAU PINANG,Seberang Perai,12:00AM,53,2023-10-28
PULAU PINANG,Minden,12:00AM,42,2023-10-28
PULAU PINANG,Balik Pulau,12:00AM,38,2023-10-28
PERAK,Taiping,12:00AM,51,2023-10-28
PERAK,Tasek Ipoh,12:00AM,57,2023-10-28
PERAK,Pegoh Ipoh,12:00AM,57,2023-10-28
PERAK,Seri Manjung,12:00AM,65,2023-10-28
PERAK,Tanjung Malim,12:00AM,52,2023-10-28
W.P. KUALA LUMPUR,Batu Muda,12:00AM,69,2023-10-28
W.P. KUALA LUMPUR,Cheras,12:00AM,71,2023-10-28
W.P. PUTRAJAYA,Putrajaya,12:00AM,73,2023-10-28
SELANGOR,Kuala Selangor,12:00AM,55,2023-10-28
SELANGOR,Petaling Jaya,12:00AM,61,2023-10-28
SELANGOR,Shah Alam,12:00AM,73,2023-10-28
SELANGOR,Klang,12:00AM,84,2023-10-28
SELANGOR,Banting,12:00AM,84,2023-10-28
NEGERI SEMBILAN,Nilai,12:00AM,53,2023-10-28
NEGERI SEMBILAN,Seremban,12:00AM,68,2023-10-28
NEGERI SEMBILAN,Port Dickson,12:00AM,72,2023-10-28
MELAKA,Alor Gajah,12:00AM,78,2023-10-28
MELAKA,Bukit Rambai,12:00AM,82,2023-10-28
MELAKA,Bandaraya Melaka,12:00AM,68,2023-10-28
JOHOR,Segamat,12:00AM,64,2023-10-28
JOHOR,Batu Pahat,12:00AM,65,2023-10-28
JOHOR,Kluang,12:00AM,62,2023-10-28
JOHOR,Larkin,12:00AM,75,2023-10-28
JOHOR,Pasir Gudang,12:00AM,65,2023-10-28
JOHOR,Pengerang,12:00AM,52,2023-10-28
JOHOR,Kota Tinggi,12:00AM,55,2023-10-28
JOHOR,Tangkak,12:00AM,73,2023-10-28
PAHANG,Rompin,12:00AM,54,2023-10-28
PAHANG,Temerloh,12:00AM,62,2023-10-28
PAHANG,Jerantut,12:00AM,56,2023-10-28
PAHANG,Indera Mahkota Kuantan,12:00AM,59,2023-10-28
PAHANG,Balok Baru Kuantan,12:00AM,58,2023-10-28
TERENGGANU,Kemaman,12:00AM,59,2023-10-28
TERENGGANU,Paka,12:00AM,55,2023-10-28
TERENGGANU,Kuala Terengganu,12:00AM,52,2023-10-28
TERENGGANU,Besut,12:00AM,41,2023-10-28
KELANTAN,Tanah Merah,12:00AM,44,2023-10-28
KELANTAN,Kota Bharu,12:00AM,55,2023-10-28
SABAH,Tawau,12:00AM,53,2023-10-28
SABAH,Sandakan,12:00AM,34,2023-10-28
SABAH,Kota Kinabalu,12:00AM,39,2023-10-28
SABAH,Kimanis,12:00AM,13,2023-10-28
SABAH,Keningau,12:00AM,30,2023-10-28
W.P. LABUAN,Labuan,12:00AM,55,2023-10-28
SARAWAK,Limbang,12:00AM,24,2023-10-28
SARAWAK,ILP Miri,12:00AM,26,2023-10-28
SARAWAK,Miri,12:00AM,31,2023-10-28
SARAWAK,Samalaju,12:00AM,41,2023-10-28
SARAWAK,Bintulu,12:00AM,52,2023-10-28
SARAWAK,Mukah,12:00AM,33,2023-10-28
SARAWAK,Kapit,12:00AM,24,2023-10-28
SARAWAK,Sibu,12:00AM,28,2023-10-28
SARAWAK,Sarikei,12:00AM,27,2023-10-28
SARAWAK,Sri Aman,12:00AM,23,2023-10-28
SARAWAK,Samarahan,12:00AM,52,2023-10-28
SARAWAK,Kuching,12:00AM,39,2023-10-28
PERLIS,Kangar,1:00AM,24,2023-10-28
KEDAH,Langkawi,1:00AM,24,2023-10-28
KEDAH,Alor Setar,1:00AM,31,2023-10-28
KEDAH,Sungai Petani,1:00AM,33,2023-10-28
KEDAH,Kulim Hi-Tech,1:00AM,57,2023-10-28
PULAU PINANG,Seberang Jaya,1:00AM,50,2023-10-28
PULAU PINANG,Seberang Perai,1:00AM,57,2023-10-28
PULAU PINANG,Minden,1:00AM,43,2023-10-28
PULAU PINANG,Balik Pulau,1:00AM,39,2023-10-28
PERAK,Taiping,1:00AM,52,2023-10-28
PERAK,Tasek Ipoh,1:00AM,57,2023-10-28
PERAK,Pegoh Ipoh,1:00AM,57,2023-10-28
PERAK,Seri Manjung,1:00AM,65,2023-10-28
PERAK,Tanjung Malim,1:00AM,53,2023-10-28
W.P. KUALA LUMPUR,Batu Muda,1:00AM,70,2023-10-28
W.P. KUALA LUMPUR,Cheras,1:00AM,71,2023-10-28
W.P. PUTRAJAYA,Putrajaya,1:00AM,74,2023-10-28
SELANGOR,Kuala Selangor,1:00AM,55,2023-10-28
SELANGOR,Petaling Jaya,1:00AM,62,2023-10-28
SELANGOR,Shah Alam,1:00AM,74,2023-10-28
SELANGOR,Klang,1:00AM,86,2023-10-28
SELANGOR,Banting,1:00AM,85,2023-10-28
NEGERI SEMBILAN,Nilai,1:00AM,54,2023-10-28
NEGERI SEMBILAN,Seremban,1:00AM,68,2023-10-28
NEGERI SEMBILAN,Port Dickson,1:00AM,73,2023-10-28
MELAKA,Alor Gajah,1:00AM,79,2023-10-28
MELAKA,Bukit Rambai,1:00AM,83,2023-10-28
MELAKA,Bandaraya Melaka,1:00AM,71,2023-10-28
JOHOR,Segamat,1:00AM,65,2023-10-28
JOHOR,Batu Pahat,1:00AM,65,2023-10-28
JOHOR,Kluang,1:00AM,61,2023-10-28
JOHOR,Larkin,1:00AM,74,2023-10-28
JOHOR,Pasir Gudang,1:00AM,65,2023-10-28
JOHOR,Pengerang,1:00AM,52,2023-10-28
JOHOR,Kota Tinggi,1:00AM,55,2023-10-28
JOHOR,Tangkak,1:00AM,73,2023-10-28
PAHANG,Rompin,1:00AM,54,2023-10-28
PAHANG,Temerloh,1:00AM,62,2023-10-28
PAHANG,Jerantut,1:00AM,57,2023-10-28
PAHANG,Indera Mahkota Kuantan,1:00AM,59,2023-10-28
PAHANG,Balok Baru Kuantan,1:00AM,58,2023-10-28
TERENGGANU,Kemaman,1:00AM,60,2023-10-28
