UMUR_KSH,NEGERI_SEMASA,DAERAH_SEMASA,STRATA_SEMASA,JANTINA,KSH_PAKAIAN,KSH_PERUMAHAN,KSH_BRG_THN_LAMA,KSH_PENGANGKUTAN,KSH_LAIN_LAIN,KSH_MAKANAN_TOTAL,KSH_INDIVIDU_MIN,KSH_INDIVIDU_MAX,KSH_INDIVIDU_MEAN,DI_MIN,DI_MAX,DI_MEAN,DI_BANTUAN_MIN,DI_BANTUAN_MAX,DI_BANTUAN_MEAN,DI_BERSIH_MIN,DI_BERSIH_MAX,DI_BERSIH_MEAN,DI_BERSIH_BANTUAN_MIN,DI_BERSIH_BANTUAN_MAX,DI_BERSIH_BANTUAN_MEAN,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0109,02,1,25.17,293.32,24.47,116.25,244.51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0109,02,2,25.17,293.32,24.47,116.25,244.51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0110,01,1,32.18,627.92,44.22,123.89,247.67,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0110,01,2,32.18,627.92,44.22,123.89,247.67,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0110,02,1,25.17,293.32,24.47,116.25,244.51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,01,0110,02,2,25.17,293.32,24.47,116.25,244.51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,02,0201,01,1,33.04,385.66,37.44,104.67,206.24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,02,0201,01,2,33.04,385.66,37.44,104.67,206.24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,02,0201,02,1,28.93,149.31,19.01,95.76,200.91,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,02,0201,02,2,28.93,149.31,19.01,95.76,200.91,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,02,0202,01,1,33.04,385.66,37.44,104.67,206.24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
