date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-06-23,09:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,26.9,84,0.0,2.9,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Terengganu,Cukai,4.2332,103.4479,27.1,84,0.0,13.0,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Labuan,Labuan,5.2803,115.2475,27.1,87,0.0,9.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-06-23,09:00:00,Sarawak,Bintulu,3.17,113.03,25.2,96,0.0,5.5,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-06-23,09:00:00,Johor,Muar,2.05,102.56,28.4,80,0.0,7.4,3,Clouds generally forming or developing
2024-06-23,09:00:00,Putrajaya,Putrajaya,2.93,101.69,26.6,87,0.0,3.2,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Perlis,Kangar,6.4333,100.2,27.4,88,0.0,2.2,3,Clouds generally forming or developing
2024-06-23,09:00:00,Sabah,Kota Kinabalu,5.975,116.0725,27.0,83,0.0,8.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-06-23,09:00:00,Kedah,Alor Setar,6.1167,100.3667,26.5,89,0.0,3.6,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Perak,Teluk Intan,4.0259,101.0213,25.9,79,0.0,7.1,3,Clouds generally forming or developing
2024-06-23,09:00:00,Perak,Ipoh,4.6,101.07,26.2,80,0.0,1.0,3,Clouds generally forming or developing
2024-06-23,09:00:00,Sabah,Tawau,4.2448,117.8911,27.6,84,0.0,7.4,3,Clouds generally forming or developing
2024-06-23,09:00:00,Pahang,Raub,3.7931,101.8569,24.8,95,0.0,3.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-06-23,09:00:00,Sabah,Sandakan,5.8388,118.1173,26.2,90,0.0,4.5,80,"Rain shower(s), slight"
2024-06-23,09:00:00,Selangor,Klang,3.0333,101.45,26.8,84,0.0,5.1,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Johor,Batu Pahat,1.85,102.93,27.8,84,0.0,4.8,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Johor,Kluang,2.0336,103.3194,26.6,90,0.0,1.6,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Sarawak,Sibu,2.3,111.8167,24.5,96,0.6,2.9,61,"Rain, not freezing, continuous slight at time of observation"
2024-06-23,09:00:00,Pahang,Kuala Lipis,4.184,102.042,25.3,87,0.0,2.1,2,State of sky on the whole unchanged
2024-06-23,09:00:00,Melaka,Melaka,2.1889,102.2511,27.9,83,0.0,5.6,3,Clouds generally forming or developing
2024-06-23,09:00:00,Sabah,Lahad Datu,5.03,118.34,27.4,83,0.0,7.3,3,Clouds generally forming or developing
2024-06-23,09:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.8,69,0.0,5.0,3,Clouds generally forming or developing
2024-06-23,09:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,26.6,84,0.0,2.3,3,Clouds generally forming or developing
2024-06-23,09:00:00,Kedah,Sungai Petani,5.65,100.48,26.5,90,0.0,2.2,3,Clouds generally forming or developing
2024-06-23,09:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.9,69,0.0,5.0,3,Clouds generally forming or developing
2024-06-23,09:00:00,Sarawak,Kuching,1.5397,110.3542,25.5,93,0.0,0.8,3,Clouds generally forming or developing
2024-06-23,09:00:00,Selangor,Shah Alam,3.0833,101.5333,27.0,81,0.0,4.1,3,Clouds generally forming or developing
2024-06-23,09:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,26.9,86,0.0,3.9,3,Clouds generally forming or developing
2024-06-23,09:00:00,Pahang,Kuantan,3.8167,103.3333,26.7,86,0.0,12.3,3,Clouds generally forming or developing
2024-06-23,09:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,27.4,78,0.0,2.9,1,Clouds generally dissolving or becoming less developed
2024-06-23,09:00:00,Johor,Johor Bahru,1.4556,103.7611,27.6,86,0.0,6.6,3,Clouds generally forming or developing
2024-06-23,09:00:00,Sarawak,Miri,4.4028,113.9933,27.1,84,0.0,10.4,3,Clouds generally forming or developing
2024-06-23,09:00:00,Perak,Taiping,4.85,100.7333,26.9,75,0.0,6.9,3,Clouds generally forming or developing
2024-06-23,09:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.9,86,0.0,5.3,3,Clouds generally forming or developing
2024-06-23,09:00:00,Selangor,Petaling Jaya,3.1073,101.6067,27.0,81,0.0,4.1,3,Clouds generally forming or developing
2024-06-23,08:00:00,Kedah,Alor Setar,6.1167,100.3667,24.8,94,0.0,4.0,3,Clouds generally forming or developing
2024-06-23,08:00:00,Perak,Teluk Intan,4.0259,101.0213,24.3,84,0.0,4.7,3,Clouds generally forming or developing
2024-06-23,08:00:00,Johor,Johor Bahru,1.4556,103.7611,26.4,92,0.0,3.6,3,Clouds generally forming or developing
2024-06-23,08:00:00,Pahang,Kuala Lipis,4.184,102.042,22.9,95,0.0,1.8,3,Clouds generally forming or developing
2024-06-23,08:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,24.4,95,0.0,3.7,2,State of sky on the whole unchanged
2024-06-23,08:00:00,Selangor,Petaling Jaya,3.1073,101.6067,24.9,86,0.0,2.5,3,Clouds generally forming or developing
2024-06-23,08:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.4,87,0.0,3.8,3,Clouds generally forming or developing
2024-06-23,08:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.0,94,0.0,2.6,2,State of sky on the whole unchanged
