date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-09-03,09:00:00,Labuan,Labuan,5.2803,115.2475,29.3,78,0.0,4.6,3,Clouds generally forming or developing
2024-09-03,09:00:00,Johor,Johor Bahru,1.4556,103.7611,28.2,83,0.0,8.4,80,"Rain shower(s), slight"
2024-09-03,09:00:00,Johor,Batu Pahat,1.85,102.93,27.2,88,0.0,5.5,96,"Thunderstorm, slight or moderate, with hail** at time of observation  - Thunderstorm at time of observation"
2024-09-03,09:00:00,Sabah,Tawau,4.2448,117.8911,27.9,85,0.0,3.5,3,Clouds generally forming or developing
2024-09-03,09:00:00,Sarawak,Bintulu,3.17,113.03,28.6,87,0.0,8.3,3,Clouds generally forming or developing
2024-09-03,09:00:00,Perak,Teluk Intan,4.0259,101.0213,26.4,90,0.0,5.4,3,Clouds generally forming or developing
2024-09-03,09:00:00,Johor,Kluang,2.0336,103.3194,26.7,88,0.0,5.1,80,"Rain shower(s), slight"
2024-09-03,09:00:00,Johor,Muar,2.05,102.56,27.5,87,0.0,4.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-09-03,09:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,26.0,90,0.0,4.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-09-03,09:00:00,Putrajaya,Putrajaya,2.93,101.69,26.1,89,0.0,5.4,80,"Rain shower(s), slight"
2024-09-03,09:00:00,Melaka,Melaka,2.1889,102.2511,26.7,89,0.0,2.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-09-03,09:00:00,Pahang,Kuantan,3.8167,103.3333,27.8,84,0.0,9.3,80,"Rain shower(s), slight"
2024-09-03,09:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,27.3,84,0.0,5.4,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Pahang,Kuala Lipis,4.184,102.042,27.6,89,0.0,2.3,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Perlis,Kangar,6.4333,100.2,27.4,92,0.0,1.9,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,28.4,81,0.0,3.2,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Kedah,Sungai Petani,5.65,100.48,27.6,88,0.0,1.5,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Kelantan,Kota Bharu,6.1333,102.25,26.9,91,0.0,4.3,3,Clouds generally forming or developing
2024-09-03,09:00:00,Perak,Taiping,4.85,100.7333,27.6,84,0.0,4.5,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Perak,Ipoh,4.6,101.07,26.3,90,0.0,3.9,3,Clouds generally forming or developing
2024-09-03,09:00:00,Sarawak,Miri,4.4028,113.9933,27.9,86,0.0,8.7,3,Clouds generally forming or developing
2024-09-03,09:00:00,Pulau Pinang,George Town,5.4145,100.3292,28.3,81,0.0,3.2,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Sarawak,Kuching,1.5397,110.3542,28.7,87,0.0,3.3,3,Clouds generally forming or developing
2024-09-03,09:00:00,Sabah,Lahad Datu,5.03,118.34,28.2,84,0.0,9.2,3,Clouds generally forming or developing
2024-09-03,09:00:00,Pahang,Raub,3.7931,101.8569,27.1,87,0.0,4.1,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Sarawak,Sibu,2.3,111.8167,28.5,90,0.0,4.0,3,Clouds generally forming or developing
2024-09-03,09:00:00,Selangor,Klang,3.0333,101.45,26.9,87,0.0,7.8,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Sabah,Kota Kinabalu,5.975,116.0725,29.8,73,0.0,2.4,3,Clouds generally forming or developing
2024-09-03,09:00:00,Selangor,Shah Alam,3.0833,101.5333,27.2,86,0.0,7.4,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Kedah,Alor Setar,6.1167,100.3667,26.6,93,0.0,3.1,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,28.0,81,0.0,3.0,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,27.5,88,0.0,1.6,3,Clouds generally forming or developing
2024-09-03,09:00:00,Selangor,Petaling Jaya,3.1073,101.6067,27.2,86,0.0,7.4,2,State of sky on the whole unchanged
2024-09-03,09:00:00,Terengganu,Cukai,4.2332,103.4479,28.2,85,0.0,8.6,1,Clouds generally dissolving or becoming less developed
2024-09-03,09:00:00,Sabah,Sandakan,5.8388,118.1173,28.0,84,0.0,7.3,3,Clouds generally forming or developing
2024-09-03,08:00:00,Sarawak,Miri,4.4028,113.9933,26.9,91,0.0,7.1,3,Clouds generally forming or developing
