date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-23,09:00:00,Perlis,Kangar,6.4333,100.2,27.0,91,0.0,5.0,80,"Rain shower(s), slight"
2024-08-23,09:00:00,Putrajaya,Putrajaya,2.93,101.69,25.6,92,0.0,1.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-23,09:00:00,Labuan,Labuan,5.2803,115.2475,27.0,88,0.0,3.0,80,"Rain shower(s), slight"
2024-08-23,09:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.9,87,0.0,3.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-23,09:00:00,Melaka,Melaka,2.1889,102.2511,26.3,90,0.0,3.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-23,09:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.9,87,0.0,3.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-23,09:00:00,Johor,Johor Bahru,1.4556,103.7611,27.9,83,0.0,2.0,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.9,88,0.0,2.5,80,"Rain shower(s), slight"
2024-08-23,09:00:00,Kelantan,Kota Bharu,6.1333,102.25,26.8,81,0.0,6.1,1,Clouds generally dissolving or becoming less developed
2024-08-23,09:00:00,Johor,Batu Pahat,1.85,102.93,26.5,88,0.0,2.2,80,"Rain shower(s), slight"
2024-08-23,09:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,26.6,81,0.0,3.1,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Selangor,Petaling Jaya,3.1073,101.6067,26.3,84,0.0,5.1,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Selangor,Shah Alam,3.0833,101.5333,26.3,84,0.0,5.1,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Johor,Muar,2.05,102.56,26.9,86,0.0,4.3,80,"Rain shower(s), slight"
2024-08-23,09:00:00,Pahang,Kuala Lipis,4.184,102.042,25.6,89,0.0,1.3,3,Clouds generally forming or developing
2024-08-23,09:00:00,Sabah,Tawau,4.2448,117.8911,26.9,86,0.0,8.8,3,Clouds generally forming or developing
2024-08-23,09:00:00,Sarawak,Kuching,1.5397,110.3542,25.8,88,0.0,8.8,3,Clouds generally forming or developing
2024-08-23,09:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,27.6,84,0.0,3.4,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Kedah,Alor Setar,6.1167,100.3667,26.5,88,0.0,4.5,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Sarawak,Bintulu,3.17,113.03,26.3,87,0.0,7.7,3,Clouds generally forming or developing
2024-08-23,09:00:00,Sarawak,Sibu,2.3,111.8167,25.4,90,0.0,6.6,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Perak,Taiping,4.85,100.7333,27.2,82,0.0,1.5,3,Clouds generally forming or developing
2024-08-23,09:00:00,Sabah,Lahad Datu,5.03,118.34,27.5,84,0.0,3.1,3,Clouds generally forming or developing
2024-08-23,09:00:00,Pahang,Kuantan,3.8167,103.3333,27.1,84,0.0,7.4,3,Clouds generally forming or developing
2024-08-23,09:00:00,Kedah,Sungai Petani,5.65,100.48,26.4,88,0.0,4.3,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Johor,Kluang,2.0336,103.3194,26.8,89,0.0,2.8,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Perak,Teluk Intan,4.0259,101.0213,26.7,84,0.0,1.4,3,Clouds generally forming or developing
2024-08-23,09:00:00,Perak,Ipoh,4.6,101.07,26.5,82,0.0,3.1,3,Clouds generally forming or developing
2024-08-23,09:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,26.2,90,0.0,3.9,2,State of sky on the whole unchanged
2024-08-23,09:00:00,Selangor,Klang,3.0333,101.45,25.6,89,0.0,3.9,3,Clouds generally forming or developing
2024-08-23,09:00:00,Sabah,Kota Kinabalu,5.975,116.0725,28.3,78,0.0,7.4,2,State of sky on the whole unchanged
