date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2026-03-24,13:10:00,9444,4289,13,0,242,1738
2026-03-24,13:20:00,9480,4406,7,0,240,1786
2026-03-24,13:30:00,9551,4511,4,0,247,1790
2026-03-24,13:40:00,9640,4464,5,0,240,1797
2026-03-24,13:50:00,9701,4524,11,0,242,1724
2026-03-24,14:00:00,9799,4545,1,0,240,1735
2026-03-24,14:10:00,9897,4549,2,0,249,1788
2026-03-24,14:20:00,9980,4656,-14,0,244,1731
2026-03-24,14:30:00,10040,4667,3,0,266,1669
2026-03-24,14:40:00,10074,4737,2,0,268,1676
2026-03-24,14:50:00,10065,4840,12,0,257,1633
2026-03-24,15:00:00,10098,4921,7,0,268,1649
2026-03-24,15:10:00,10087,4963,4,0,267,1641
2026-03-24,15:20:00,10098,5103,-17,0,301,1572
2026-03-24,15:30:00,10076,5305,12,0,271,1533
2026-03-24,15:40:00,10101,5430,-10,0,288,1431
2026-03-24,15:50:00,10085,5567,7,0,264,1449
2026-03-24,16:00:00,10087,5704,4,0,294,1419
2026-03-24,16:10:00,10067,5857,10,0,289,1367
2026-03-24,16:20:00,10098,6054,22,0,262,1270
2026-03-24,16:30:00,10105,6190,19,0,277,1245
2026-03-24,16:40:00,10102,6447,5,0,277,1122
2026-03-24,16:50:00,10094,6482,6,0,263,1045
2026-03-24,00:00:00,10004,6182,-15,0,580,1
2026-03-24,00:10:00,10009,6093,15,0,577,1
2026-03-24,00:20:00,10006,6148,-4,0,408,1
2026-03-24,00:30:00,10016,6071,8,0,406,1
2026-03-24,00:40:00,10015,5956,5,0,403,1
2026-03-24,00:50:00,10009,5932,-24,0,390,1
2026-03-24,01:00:00,10003,5870,-8,0,308,1
2026-03-24,01:10:00,10022,5707,35,0,307,1
2026-03-24,01:20:00,10006,5631,28,0,307,1
2026-03-24,01:30:00,10016,5426,32,0,314,1
2026-03-24,01:40:00,9991,5197,24,0,450,1
2026-03-24,01:50:00,10000,5195,5,0,404,1
2026-03-24,02:00:00,9998,5200,25,0,310,1
2026-03-24,02:10:00,10005,5009,30,0,436,1
2026-03-24,02:20:00,10000,4944,-6,0,435,1
2026-03-24,02:30:00,10019,4850,16,0,375,1
2026-03-24,02:40:00,10005,4798,-16,0,373,1
2026-03-24,02:50:00,10018,4623,5,0,368,1
2026-03-24,03:00:00,10017,4633,5,0,279,0
2026-03-24,03:10:00,10022,4544,22,0,256,1
2026-03-24,03:20:00,9993,4538,-4,0,214,1
2026-03-24,03:30:00,10013,4442,21,0,179,1
2026-03-24,03:40:00,10005,4390,29,0,178,1
2026-03-24,03:50:00,10012,4320,29,0,183,1
2026-03-24,04:00:00,9917,4392,22,0,180,1
2026-03-24,04:10:00,9863,4351,7,0,178,1
2026-03-24,04:20:00,9778,4331,2,0,205,0
2026-03-24,04:30:00,9753,4316,-6,0,210,0
2026-03-24,04:40:00,9739,4295,26,0,198,1
2026-03-24,04:50:00,9773,4214,4,0,178,1
2026-03-24,05:00:00,9792,4218,-11,0,179,1
2026-03-24,05:10:00,9822,4140,-5,0,181,1
2026-03-24,05:20:00,9811,4163,8,0,178,1
2026-03-24,05:30:00,9836,4092,4,0,182,1
2026-03-24,05:40:00,9827,4086,17,0,183,1
2026-03-24,05:50:00,9755,4054,6,0,306,1
2026-03-24,06:00:00,9667,3966,22,0,514,1
2026-03-24,06:10:00,9668,3999,3,0,513,1
2026-03-24,06:20:00,9677,4084,4,0,517,1
2026-03-24,06:30:00,9665,4012,28,0,514,1
2026-03-24,06:40:00,9688,4066,-3,0,515,1
2026-03-24,06:50:00,9663,4087,0,0,516,1
2026-03-24,07:00:00,9687,4086,-17,0,524,1
2026-03-24,07:10:00,9652,4146,9,0,515,1
2026-03-24,07:20:00,9710,3958,5,0,485,2
2026-03-24,07:30:00,9756,3920,5,0,476,20
2026-03-24,07:40:00,9815,3872,31,0,471,67
2026-03-24,07:50:00,9851,3893,23,0,391,124
2026-03-24,08:00:00,9868,3923,36,0,392,176
2026-03-24,08:10:00,9874,4072,33,0,442,265
2026-03-24,08:20:00,9965,3977,25,0,491,350
2026-03-24,08:30:00,10011,3886,33,0,461,463
2026-03-24,08:40:00,10002,4011,34,0,497,533
2026-03-24,08:50:00,10020,3921,28,0,461,649
2026-03-24,09:00:00,9973,3952,26,0,412,718
2026-03-24,09:10:00,9977,3978,29,0,417,822
2026-03-24,09:20:00,9930,3965,4,0,411,890
2026-03-24,09:30:00,9934,3876,5,0,380,985
2026-03-24,09:40:00,9948,3955,-17,0,384,1055
2026-03-24,09:50:00,9902,3978,5,0,384,1131
2026-03-24,10:00:00,9905,3961,4,0,381,1212
2026-03-24,10:10:00,9887,3984,-32,0,379,1321
2026-03-24,10:20:00,9881,3946,6,0,378,1388
2026-03-24,10:30:00,9872,3916,-18,0,377,1437
2026-03-24,10:40:00,9856,3995,-1,0,379,1459
2026-03-24,10:50:00,9887,3912,-18,0,320,1531
2026-03-24,11:00:00,9809,3929,-17,0,305,1536
2026-03-24,11:10:00,9749,3949,-9,0,338,1616
2026-03-24,11:20:00,9721,3946,5,0,343,1642
2026-03-24,11:30:00,9748,3956,6,0,331,1723
2026-03-24,11:40:00,9732,4055,14,0,337,1726
2026-03-24,11:50:00,9733,4002,14,0,336,1740
2026-03-24,12:00:00,9734,3932,15,0,277,1717
2026-03-24,12:10:00,9702,3842,27,0,272,1720
2026-03-24,12:20:00,9580,3942,11,0,183,1764
2026-03-24,12:30:00,9548,3956,19,0,182,1774
2026-03-24,12:40:00,9483,4045,30,0,187,1777
2026-03-24,12:50:00,9459,4085,30,0,238,1770
2026-03-24,13:00:00,9454,4104,4,0,240,1748
2026-03-24,13:10:00,9444,4289,13,0,242,1738
2026-03-24,13:20:00,9480,4406,7,0,240,1786
2026-03-24,13:30:00,9551,4511,4,0,247,1790
2026-03-24,13:40:00,9640,4464,5,0,240,1797
2026-03-24,13:50:00,9701,4524,11,0,242,1724
2026-03-24,14:00:00,9799,4545,1,0,240,1735
2026-03-24,14:10:00,9897,4549,2,0,249,1788
2026-03-24,14:20:00,9980,4656,-14,0,244,1731
2026-03-24,14:30:00,10040,4667,3,0,266,1669
2026-03-24,14:40:00,10074,4737,2,0,268,1676
2026-03-24,14:50:00,10065,4840,12,0,257,1633
2026-03-24,15:00:00,10098,4921,7,0,268,1649
2026-03-24,15:10:00,10087,4963,4,0,267,1641
2026-03-24,15:20:00,10098,5103,-17,0,301,1572
2026-03-24,15:30:00,10076,5305,12,0,271,1533
2026-03-24,15:40:00,10101,5430,-10,0,288,1431
2026-03-24,15:50:00,10085,5567,7,0,264,1449
2026-03-24,16:00:00,10087,5704,4,0,294,1419
2026-03-24,16:10:00,10067,5857,10,0,289,1367
2026-03-24,16:20:00,10098,6054,22,0,262,1270
2026-03-24,16:30:00,10105,6190,19,0,277,1245
2026-03-24,16:40:00,10102,6447,5,0,277,1122
2026-03-24,16:50:00,10094,6482,6,0,263,1045
2026-03-24,17:00:00,10100,6511,-6,0,261,998
2026-03-24,17:10:00,10118,6445,3,0,259,904
2026-03-24,17:20:00,10099,6512,2,0,276,802
2026-03-24,17:30:00,10087,6549,4,0,289,724
2026-03-24,17:40:00,10113,6522,-24,0,285,674
2026-03-24,17:50:00,10102,6598,-20,0,302,591
