date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-03-14,00:00:00,8635,7588,26,0,897,-1
2024-03-14,00:10:00,8614,7457,14,0,803,0
2024-03-14,00:20:00,8560,7345,19,0,802,0
2024-03-14,00:30:00,8481,7372,24,0,803,-1
2024-03-14,00:40:00,8438,7308,17,0,803,0
2024-03-14,00:50:00,8409,7074,28,0,803,0
2024-03-14,01:00:00,8411,7015,16,0,803,0
2024-03-14,01:10:00,8419,6843,26,0,803,0
2024-03-14,01:20:00,8411,6796,26,0,801,0
2024-03-14,01:30:00,8429,6666,2,0,802,0
2024-03-14,01:40:00,8424,6476,12,0,803,0
2024-03-14,01:50:00,8409,6363,14,0,802,0
2024-03-14,02:00:00,8414,6383,7,0,705,0
2024-03-14,02:10:00,8414,6338,13,0,704,0
2024-03-14,02:20:00,8418,6147,18,0,671,0
2024-03-14,02:30:00,8411,6141,16,0,671,0
2024-03-14,02:40:00,8402,6105,16,0,617,0
2024-03-14,02:50:00,8409,5939,16,0,617,0
2024-03-14,03:00:00,8417,5932,15,0,616,-1
2024-03-14,03:10:00,8394,5871,16,0,569,-1
2024-03-14,03:20:00,8259,5883,9,0,569,0
2024-03-14,03:30:00,8244,5847,24,0,569,0
2024-03-14,03:40:00,8270,5766,34,0,569,-1
2024-03-14,03:50:00,8296,5769,36,0,569,0
2024-03-14,04:00:00,8320,5679,32,0,569,0
2024-03-14,04:10:00,8361,5574,46,0,572,-1
2024-03-14,04:20:00,8355,5602,43,0,571,0
2024-03-14,04:30:00,8364,5587,39,0,571,-1
2024-03-14,04:40:00,8360,5650,36,0,571,0
2024-03-14,04:50:00,8358,5601,31,0,572,0
2024-03-14,05:00:00,8345,5602,34,0,572,0
2024-03-14,05:10:00,8368,5568,39,0,580,0
2024-03-14,05:20:00,8344,5623,35,0,581,0
2024-03-14,05:30:00,8359,5543,43,0,581,0
2024-03-14,05:40:00,8355,5474,39,0,581,-1
2024-03-14,05:50:00,8362,5496,40,0,581,-1
2024-03-14,06:00:00,8349,5655,43,0,581,0
2024-03-14,06:10:00,8356,5846,31,0,581,0
2024-03-14,06:20:00,8355,5851,37,0,580,0
2024-03-14,06:30:00,8358,5789,44,0,568,0
2024-03-14,06:40:00,8361,5712,38,0,569,0
2024-03-14,06:50:00,8358,5637,35,0,569,0
2024-03-14,07:00:00,8346,5523,47,0,569,-1
