date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2026-01-14,11:50:00,9405,6132,21,144,283,1258
2026-01-14,12:00:00,9414,5916,39,144,275,1279
2026-01-14,12:10:00,9448,5808,28,144,202,1386
2026-01-14,12:20:00,9454,5674,-15,142,228,1373
2026-01-14,12:30:00,9473,5576,-16,141,226,1481
2026-01-14,12:40:00,9489,5451,1,135,273,1410
2026-01-14,12:50:00,9489,5642,16,130,271,1321
2026-01-14,13:00:00,9491,5589,38,133,234,1347
2026-01-14,13:10:00,9500,5700,43,133,244,1332
2026-01-14,13:20:00,9485,5729,39,133,248,1365
2026-01-14,13:30:00,9478,6081,45,132,268,1219
2026-01-14,13:40:00,9499,6211,41,132,274,1224
2026-01-14,13:50:00,9497,6401,41,124,238,1182
2026-01-14,14:00:00,9490,6679,42,112,199,1116
2026-01-14,14:10:00,9485,6720,46,114,275,1211
2026-01-14,14:20:00,9490,6603,45,100,270,1297
2026-01-14,14:30:00,9413,6737,47,85,275,1244
2026-01-14,14:40:00,9379,6940,42,70,274,1159
2026-01-14,14:50:00,9366,6928,41,58,261,1202
2026-01-14,15:00:00,9377,6968,42,58,270,1171
2026-01-14,15:10:00,9369,7121,36,53,234,1209
2026-01-14,15:20:00,9375,7275,46,32,194,1230
2026-01-14,15:30:00,9377,7446,47,20,201,1163
2026-01-14,15:40:00,9378,7544,38,0,277,1095
2026-01-14,15:50:00,9351,7761,35,0,277,1011
2026-01-14,16:00:00,9361,7826,43,0,280,1001
2026-01-14,16:10:00,9347,7863,12,0,269,1016
2026-01-14,16:20:00,9348,7993,26,0,299,880
2026-01-14,16:30:00,9339,8075,28,0,220,887
2026-01-14,16:40:00,9346,8043,17,0,284,876
2026-01-14,16:50:00,9378,8088,38,0,290,821
2026-01-14,17:00:00,9348,8087,8,0,390,739
2026-01-14,17:10:00,9383,8019,10,0,376,667
2026-01-14,17:20:00,9386,7902,19,0,393,627
2026-01-14,17:30:00,9386,7872,22,0,396,592
2026-01-14,00:00:00,8985,7075,32,227,808,0
2026-01-14,00:10:00,9054,6928,-8,208,831,0
2026-01-14,00:20:00,9075,7078,13,189,552,0
2026-01-14,00:30:00,9112,6970,44,171,520,0
2026-01-14,00:40:00,9133,6930,17,151,417,0
2026-01-14,00:50:00,9113,6850,6,144,381,0
2026-01-14,01:00:00,9104,6744,25,144,280,0
2026-01-14,01:10:00,9156,6609,21,144,280,0
2026-01-14,01:20:00,9132,6564,9,144,279,0
2026-01-14,01:30:00,9133,6529,35,144,281,0
2026-01-14,01:40:00,9140,6501,17,144,217,0
2026-01-14,01:50:00,9140,6388,14,144,217,0
2026-01-14,02:00:00,9144,6223,40,144,218,0
2026-01-14,02:10:00,9143,6182,38,144,261,0
2026-01-14,02:20:00,9141,5937,37,144,263,0
2026-01-14,02:30:00,9142,5875,32,144,309,0
2026-01-14,02:40:00,9140,5839,21,144,336,0
2026-01-14,02:50:00,9125,5789,11,144,377,0
2026-01-14,03:00:00,9122,5688,48,144,366,0
2026-01-14,03:10:00,9140,5524,53,144,332,0
2026-01-14,03:20:00,9157,5420,45,144,308,0
2026-01-14,03:30:00,9175,5322,50,144,306,0
2026-01-14,03:40:00,9183,5309,32,144,248,0
2026-01-14,03:50:00,9187,5305,37,144,248,0
2026-01-14,04:00:00,9189,5239,13,144,243,0
2026-01-14,04:10:00,9216,5261,20,144,243,-1
2026-01-14,04:20:00,9236,5191,29,144,240,0
2026-01-14,04:30:00,9220,5128,0,144,208,0
2026-01-14,04:40:00,9205,5067,19,146,265,0
2026-01-14,04:50:00,9231,5089,7,146,265,0
2026-01-14,05:00:00,9221,5029,36,146,263,0
2026-01-14,05:10:00,9249,5050,-13,146,261,0
2026-01-14,05:20:00,9246,5127,24,146,266,0
2026-01-14,05:30:00,9269,5151,25,146,288,0
2026-01-14,05:40:00,9254,5230,18,146,318,0
2026-01-14,05:50:00,9239,5342,-7,146,317,0
2026-01-14,06:00:00,9250,5363,45,146,320,0
2026-01-14,06:10:00,9286,5532,42,146,298,0
2026-01-14,06:20:00,9310,5577,19,146,324,0
2026-01-14,06:30:00,9326,5653,16,146,327,0
2026-01-14,06:40:00,9314,5576,17,146,368,0
2026-01-14,06:50:00,9320,5495,21,146,344,0
2026-01-14,07:00:00,9303,5390,20,144,343,0
2026-01-14,07:10:00,9289,5442,5,144,350,0
2026-01-14,07:20:00,9309,5397,4,144,344,1
2026-01-14,07:30:00,9287,5473,19,144,343,2
2026-01-14,07:40:00,9313,5537,7,144,312,13
2026-01-14,07:50:00,9286,5586,16,144,313,30
2026-01-14,08:00:00,9300,5693,38,144,313,59
2026-01-14,08:10:00,9267,6178,41,144,305,108
2026-01-14,08:20:00,9267,6269,28,144,307,160
2026-01-14,08:30:00,9298,6391,38,144,305,223
2026-01-14,08:40:00,9265,6585,44,144,276,291
2026-01-14,08:50:00,9298,6571,38,144,273,367
2026-01-14,09:00:00,9284,6604,46,144,276,416
2026-01-14,09:10:00,9280,6676,50,143,275,517
2026-01-14,09:20:00,9279,6672,42,144,274,565
2026-01-14,09:30:00,9280,6604,44,144,273,629
2026-01-14,09:40:00,9283,6699,17,144,217,663
2026-01-14,09:50:00,9281,6738,7,144,212,712
2026-01-14,10:00:00,9304,6561,12,144,214,854
2026-01-14,10:10:00,9301,6570,27,144,217,946
2026-01-14,10:20:00,9294,6514,2,144,211,980
2026-01-14,10:30:00,9322,6168,-2,144,213,1089
2026-01-14,10:40:00,9301,6277,36,144,215,1124
2026-01-14,10:50:00,9309,6218,12,144,216,1154
2026-01-14,11:00:00,9330,6210,12,144,214,1256
2026-01-14,11:10:00,9340,6218,44,144,282,1255
2026-01-14,11:20:00,9369,6169,15,144,283,1335
2026-01-14,11:30:00,9391,6061,14,144,283,1417
2026-01-14,11:40:00,9390,6124,30,144,285,1364
2026-01-14,11:50:00,9405,6132,21,144,283,1258
2026-01-14,12:00:00,9414,5916,39,144,275,1279
2026-01-14,12:10:00,9448,5808,28,144,202,1386
2026-01-14,12:20:00,9454,5674,-15,142,228,1373
2026-01-14,12:30:00,9473,5576,-16,141,226,1481
2026-01-14,12:40:00,9489,5451,1,135,273,1410
2026-01-14,12:50:00,9489,5642,16,130,271,1321
2026-01-14,13:00:00,9491,5589,38,133,234,1347
2026-01-14,13:10:00,9500,5700,43,133,244,1332
2026-01-14,13:20:00,9485,5729,39,133,248,1365
2026-01-14,13:30:00,9478,6081,45,132,268,1219
2026-01-14,13:40:00,9499,6211,41,132,274,1224
2026-01-14,13:50:00,9497,6401,41,124,238,1182
2026-01-14,14:00:00,9490,6679,42,112,199,1116
2026-01-14,14:10:00,9485,6720,46,114,275,1211
2026-01-14,14:20:00,9490,6603,45,100,270,1297
2026-01-14,14:30:00,9413,6737,47,85,275,1244
2026-01-14,14:40:00,9379,6940,42,70,274,1159
2026-01-14,14:50:00,9366,6928,41,58,261,1202
2026-01-14,15:00:00,9377,6968,42,58,270,1171
2026-01-14,15:10:00,9369,7121,36,53,234,1209
2026-01-14,15:20:00,9375,7275,46,32,194,1230
2026-01-14,15:30:00,9377,7446,47,20,201,1163
2026-01-14,15:40:00,9378,7544,38,0,277,1095
2026-01-14,15:50:00,9351,7761,35,0,277,1011
2026-01-14,16:00:00,9361,7826,43,0,280,1001
2026-01-14,16:10:00,9347,7863,12,0,269,1016
2026-01-14,16:20:00,9348,7993,26,0,299,880
2026-01-14,16:30:00,9339,8075,28,0,220,887
2026-01-14,16:40:00,9346,8043,17,0,284,876
2026-01-14,16:50:00,9378,8088,38,0,290,821
2026-01-14,17:00:00,9348,8087,8,0,390,739
2026-01-14,17:10:00,9383,8019,10,0,376,667
2026-01-14,17:20:00,9386,7902,19,0,393,627
2026-01-14,17:30:00,9386,7872,22,0,396,592
2026-01-14,17:40:00,9384,7856,18,0,387,533
2026-01-14,17:50:00,9422,7824,16,0,387,412
2026-01-14,18:00:00,9433,7726,20,0,377,372
2026-01-14,18:10:00,9479,7636,5,0,378,268
2026-01-14,18:20:00,9455,7697,17,0,418,207
2026-01-14,18:30:00,9496,7780,14,0,462,144
